question,sparql
Who got the Asian Film Awards of Takeshi Kitano?,select distinct ?sbj where { ?sbj wdt:P1346 wd:Q26372 . ?sbj wdt:P31 wd:Q594504 }
What are the brain region that starts with the letter t,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1620186 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Provide the information of Mimas orbits?,SELECT ?answer WHERE { wd:Q15040 wdt:P397 ?answer . ?answer wdt:P398 wd:Q15034}
What was the population of Tehran in 2006?,"SELECT ?obj WHERE { wd:Q3616 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2006')) }"
Since when has Joseph Lyons been a member of the Australian House of Representatives?,SELECT ?value WHERE { wd:Q370966 p:P39 ?s . ?s ps:P39 wd:Q18912794 . ?s pq:P580 ?value}
What is the population of Gaza City?,"SELECT ?value WHERE { wd:Q47492 p:P1082 ?s . ?s ps:P1082 ?x filter(contains(?x,'515556')) . ?s pq:P459 ?value}"
When was Anita Brookner nominated for the Man Booker Prize?,SELECT ?value WHERE { wd:Q237687 p:P1411 ?s . ?s ps:P1411 wd:Q160082 . ?s pq:P585 ?value}
How many wives does the Chongzhen Emperor have?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P26 wd:Q10069 }
Which Atlantic hurricane had maximum damage cost?,select ?ent where { ?ent wdt:P31 wd:Q2547976 . ?ent wdt:P2630 ?obj } ORDER BY DESC(?obj)LIMIT 5
"What is successor of String Quintet in E major, Op.11, No.5?",SELECT ?answer WHERE { wd:Q7623961 wdt:P826 ?X . ?X wdt:P156 ?answer}
"What was the country of citizenship for Godfrey Hounsfield on April 12, 1927?","SELECT ?obj WHERE { wd:Q273769 p:P27 ?s . ?s ps:P27 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'1927')) }"
WHAT IS THE NEUTRON NUMBER OF SILVER?,select ?ent where { ?ent wdt:P31 wd:Q1373385 . ?ent wdt:P1148 ?obj } ORDER BY DESC(?obj)LIMIT 5
Who is the inventor or discoverer of Messier 77 whose murder method is yellow fever?,SELECT ?answer WHERE { wd:Q14017 wdt:P61 ?answer . ?answer wdt:P509 wd:Q154874}
How many chair persons are there in the {Garry Kasparov} ?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P488 wd:Q28614 }
What is the setting of King Kong that borders Westchester County.,SELECT ?answer WHERE { wd:Q309048 wdt:P840 ?answer . ?answer wdt:P47 wd:Q54066}
What kind of career does Grigori Kozintsev have in the screenwriting field?,SELECT ?answer WHERE { wd:Q553072 wdt:P106 ?answer . ?answer wdt:P425 wd:Q3429919}
Who is the {fundamental state of matter} for {greater than} of {gas},select distinct ?sbj where { ?sbj wdt:P5135 wd:Q11432 . ?sbj wdt:P31 wd:Q15831576 }
"What is the public office held by John Russell, 1st Earl Russell, that was appointed by Elizabeth II?",SELECT ?answer WHERE { wd:Q157259 wdt:P39 ?answer . ?answer wdt:P748 wd:Q9682}
which reserve currency has the highest price?,select ?ent where { ?ent wdt:P31 wd:Q756202 . ?ent wdt:P2284 ?obj } ORDER BY DESC(?obj)LIMIT 5
Who was {participant in conflict} of {sister} {Emilio Polli} ?,SELECT ?answer WHERE { wd:Q3724488 wdt:P3373 ?X . ?X wdt:P607 ?answer}
"When Ufa, the administrative territorial entity as Republic of Bashkortostan, started?",SELECT ?value WHERE { wd:Q911 p:P131 ?s . ?s ps:P131 wd:Q5710 . ?s pq:P580 ?value}
Which is the historical country for the diplomatic relation of the Ottoman Empire?,select distinct ?obj where { wd:Q12560 wdt:P530 ?obj . ?obj wdt:P31 wd:Q3024240 }
How much destruction has aerial warfare caused?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P770 wd:Q471145 }
How many carries are by Canal du Midi?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P2505 wd:Q202494 }
Which work of Marlon Brando was nominated for the Academy Award for Best Actor?,SELECT ?value WHERE { wd:Q34012 p:P1411 ?s . ?s ps:P1411 wd:Q103916 . ?s pq:P1686 ?value}
What was located in Jilin in 1949?,"SELECT ?obj WHERE { wd:Q45208 p:P131 ?s . ?s ps:P131 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1949')) }"
Tell me water deity whose name has the word yinglong in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1916821 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'yinglong')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
,select distinct ?sbj where { ?sbj wdt:P53 wd:Q161205 . ?sbj wdt:P31 wd:Q5 }
What was the capital of Brescia in 1859?,"SELECT ?obj WHERE { wd:Q6221 p:P1376 ?s . ?s ps:P1376 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'1859')) }"
Which period of time Guizar has awarded as the best lyricist in the Fimfare Award?,SELECT ?value WHERE { wd:Q468339 p:P166 ?s . ?s ps:P166 wd:Q1414539 . ?s pq:P585 ?value}
Which is the {twinned administrative body} and the {contains administrative territorial entity} of {Lisbon} ?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q597 wdt:P190 ?ans_1 . wd:Q597 wdt:P150 ?ans_2 }
Who was the spouse of John Gilbert up until the beginning of 1931?,"SELECT ?obj WHERE { wd:Q503956 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'1931')) }"
Which election applies to the Weimer Republic?,select distinct ?sbj where { ?sbj wdt:P1001 wd:Q41304 . ?sbj wdt:P31 wd:Q2047484 }
what is input in work of  captain hook ?,SELECT ?answer WHERE { wd:Q55728689 wdt:P1441 ?X . ?X wdt:P479 ?answer}
which radio telescope has maximum wavelength of sensitivity in Chile?,select ?ent where { ?ent wdt:P31 wd:Q184356 . ?ent wdt:P3738 ?obj . ?ent wdt:P17 wd:Q298 } ORDER BY DESC(?obj)LIMIT 5
How many courses do you need to be educated as a lawyer?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P69 wd:Q40348 }
How much did it cost ExxonMobil to operate in 2014?,"SELECT ?obj WHERE { wd:Q156238 p:P3362 ?s . ?s ps:P3362 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2014')) }"
Who are the writers of Parzival that craft this poem?,SELECT ?answer WHERE { wd:Q1247232 wdt:P50 ?answer . ?answer wdt:P106 wd:Q49757}
William Shakespeare is the famous for writing's in the Sonnet 72.,SELECT ?answer WHERE { wd:Q3490580 wdt:P50 ?X . ?X wdt:P800 ?answer}
What unfinished/abandoned film project does screenwriter Mike Myers have?,select distinct ?sbj where { ?sbj wdt:P58 wd:Q185724 . ?sbj wdt:P31 wd:Q18011171 }
What academic degree was obtained by Abraham Maslow in 1931?,"SELECT ?obj WHERE { wd:Q23357 p:P512 ?s . ?s ps:P512 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1931')) }"
Tell me physical law whose name has the word superposition in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q214070 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'superposition')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Give me Russia's lowest ranking at the 2018 FIFA World Cup.,select ?ent where { ?ent wdt:P31 wd:Q7381959 . ?ent wdt:P1352 ?obj . ?ent wdt:P1269 wd:Q170645} ORDER BY ASC(?obj)LIMIT 5
What is the significant incident of Anna Berliner's marriage?,SELECT ?answer WHERE { wd:Q53834036 wdt:P26 ?X . ?X wdt:P793 ?answer}
For what language is the Diary of Anne Frank called Diario?,SELECT ?value WHERE { wd:Q6911 p:P747 ?s . ?s ps:P747 wd:Q14624888 . ?s pq:P407 ?value}
How many medical conditions are treated by diazepam?,SELECT (COUNT(?obj) AS ?value ) { wd:Q210402 wdt:P2175 ?obj }
When did Charlie Rose receive the James Madison Award?,SELECT ?value WHERE { wd:Q715515 p:P166 ?s . ?s ps:P166 wd:Q16987872 . ?s pq:P585 ?value}
Who is the publisher for The Lees of Hong Kong?,SELECT ?answer WHERE { wd:Q17329907 wdt:P123 ?X . ?X wdt:P159 ?answer}
When did Debrecen stay in the county town?,SELECT ?value WHERE { wd:Q79880 p:P31 ?s . ?s ps:P31 wd:Q1175512 . ?s pq:P582 ?value}
What are the inhabitants of the location where Alexander Fleming died?,SELECT ?answer WHERE { wd:Q37064 wdt:P20 ?X . ?X wdt:P1082 ?answer}
Tell me military order whose name has the word  saint in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q474717 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'saint')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the product with the maximum per capita consumption rate as per Brockhaus and Efron Encyclopedic Dictionary ?,select ?ent where { ?ent wdt:P31 wd:Q2424752 . ?ent wdt:P2662 ?obj . ?ent wdt:P1343 wd:Q602358 } ORDER BY DESC(?obj)LIMIT 5
What is the place and manner of death of Ravi Shankar?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q103774 wdt:P20 ?ans_1 . wd:Q103774 wdt:P1196 ?ans_2 }
Which is {surface area} of {agent} of {French invasion of Russia} ?,SELECT ?answer WHERE { wd:Q179250 wdt:P710 ?X . ?X wdt:P2046 ?answer}
Which film was Sergei Eisenstein a director of?,select distinct ?sbj where { ?sbj wdt:P57 wd:Q8003 . ?sbj wdt:P31 wd:Q11424 }
What binary F-type main-sequence star has the slowest stellar rotational velocity ?,select ?ent where { ?ent wdt:P31 wd:Q1353952 . ?ent wdt:P4296 ?obj . ?ent wdt:P31 wd:Q50053. } ORDER BY ASC(?obj)LIMIT 5
How many speakers were Polish on 1-1-2007?,"SELECT ?obj WHERE { wd:Q809 p:P1098 ?s . ?s ps:P1098 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2007')) }"
What is the location of the Honda headquarters with the postal code 107-8556?,"SELECT ?obj WHERE { wd:Q9584 p:P159 ?s . ?s ps:P159 ?obj . ?s pq:P281 ?x filter(contains(?x,'107-8556')) }"
"Waht actors are in ""Romance Revisited: The Songs of Jose Mari Chan""?",SELECT ?answer WHERE { wd:Q12508854 wdt:P155 ?X . ?X wdt:P175 ?answer}
What are the place of birth and the child of Pete Wentz?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q310166 wdt:P19 ?ans_1 . wd:Q310166 wdt:P40 ?ans_2 }
Who was Max Planck's assistant?,select distinct ?sbj where { ?sbj wdt:P184 wd:Q9021 . ?sbj wdt:P31 wd:Q5 }
When was Boris Johnson the Member of the 56th  Parliament of the United Kingdom?,SELECT ?value WHERE { wd:Q180589 p:P39 ?s . ?s ps:P39 wd:Q30524718 . ?s pq:P580 ?value}
"What language uses the word ""Antygona"" instead of what is known in English as ""Antigone""?",SELECT ?value WHERE { wd:Q241077 p:P747 ?s . ?s ps:P747 wd:Q24791655 . ?s pq:P407 ?value}
What was the unnatural cause of death of Koko?,SELECT ?answer WHERE { wd:Q1348219 wdt:P1196 ?answer . ?answer wdt:P461 wd:Q855919}
"Who was the {governor} of {Vichy France}, that {commands} during the {Battle of Verdun}?",SELECT ?answer WHERE { wd:Q69808 wdt:P35 ?answer . ?answer wdt:P598 wd:Q130847}
"When Carlos Andres Perez da costa was replaced by Luis Herrera Campins, what position did he hold?",SELECT ?obj WHERE { wd:Q295790 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P1366 wd:Q455661 }
what is comics character of mickey mouse universe from the fictional universe  and also which starts with letter t,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1114461 . ?sbj wdt:P1080 wd:Q3260246 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
"The domain of saint or deity, for the title of Mary, belongs to which spanish empire?",select distinct ?sbj where { ?sbj wdt:P2925 wd:Q80702 . ?sbj wdt:P31 wd:Q1509831 }
"According to Wikipedia, what is the reserve currency with the lowest price?",select ?ent where { ?ent wdt:P31 wd:Q756202 . ?ent wdt:P2284 ?obj . ?ent wdt:P5008 wd:Q5460604} ORDER BY ASC(?obj)LIMIT 5
To whom was Osip Mandelstam married in the year 1922?,"SELECT ?obj WHERE { wd:Q189950 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1922')) }"
Which is the automobile model as the vehicle normally used by Elizabeth II?,select distinct ?obj where { wd:Q9682 wdt:P3438 ?obj . ?obj wdt:P31 wd:Q3231690 }
Which subitem of Alaskan history has villages in the Northwest Arctic Borough?,SELECT ?answer WHERE { wd:Q575962 wdt:P1269 ?answer . ?answer wdt:P150 wd:Q511723}
Tell me the history of Texas which towns are apart of this country.,SELECT ?answer WHERE { wd:Q1149383 wdt:P1269 ?X . ?X wdt:P150 ?answer}
What is the national holiday of the nation of Jarmila Kratochvilova?,SELECT ?answer WHERE { wd:Q233683 wdt:P27 ?X . ?X wdt:P832 ?answer}
which type of quantum particle that interaction  gravity starts with q,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q22675015 . ?sbj wdt:P517 wd:Q11412 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'q')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the name in the native language of William Pitt the Younger for the additive the Younger?,SELECT ?obj WHERE { wd:Q128902 p:P1559 ?s . ?s ps:P1559 ?obj . ?s pq:P527 wd:Q19838173 }
How do you determine Saturday is the first date of the week?,"SELECT ?value WHERE { wd:Q131 p:P1545 ?s . ?s ps:P1545 ?x filter(contains(?x,'0')) . ?s pq:P1013 ?value}"
Who is the child of Walter Raleigh?,select distinct ?obj where { wd:Q189144 wdt:P40 ?obj . ?obj wdt:P31 wd:Q5 }
What is the name of Bashar al-Assad's sibling,select distinct ?obj where { wd:Q44329 wdt:P3373 ?obj . ?obj wdt:P31 wd:Q5 }
What genre of music is in the series titled Bound?,SELECT ?answer WHERE { wd:Q50845803 wdt:P179 ?X . ?X wdt:P136 ?answer}
Who are the inhabitants of Benue?,SELECT ?answer WHERE { wd:Q204806 wdt:P17 ?X . ?X wdt:P1082 ?answer}
What episode preceded Opie's Newspapers?,SELECT ?answer WHERE { wd:Q51231142 wdt:P155 ?X . ?X wdt:P179 ?answer}
What position did Kobe Bryant play as?,SELECT (COUNT(?obj) AS ?value ) { wd:Q25369 wdt:P413 ?obj }
What is the attendee that participated in Belarus in the Eurovision Song Contest 2004?,SELECT ?answer WHERE { wd:Q1899987 wdt:P1344 ?X . ?X wdt:P710 ?answer}
Which quantum particle that decays to an electron has the lowest decay width ?,select ?ent where { ?ent wdt:P31 wd:Q22675015 . ?ent wdt:P2223 ?obj . ?ent wdt:P816 wd:Q2225. } ORDER BY ASC(?obj)LIMIT 5
What are the soil type which start with the letter v,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q10926413 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'v')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Larry Flynt is editor of which magazine?,select distinct ?sbj where { ?sbj wdt:P98 wd:Q223839 . ?sbj wdt:P31 wd:Q41298 }
What organization did Alexander Pushkin found?,select distinct ?obj where { wd:Q7200 wdt:P463 ?obj . ?obj wdt:P31 wd:Q43229 }
How many software programs are written in PHP?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P1547 wd:Q59 }
When did Jean-Bertrand Aristide stop holding the position as the President of Haiti?,SELECT ?value WHERE { wd:Q209617 p:P39 ?s . ?s ps:P39 wd:Q3290543 . ?s pq:P582 ?value}
Which is the weekly newspaper owner of which is StarWipe and contains the word onion in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q2305295 . ?sbj wdt:P1830 wd:Q21189788 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'onion')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Who is the president of the company that Karen Czarnecki works for?,SELECT ?answer WHERE { wd:Q6369578 wdt:P108 ?X . ?X wdt:P1037 ?answer}
What are the Greco-Roman mysteries which start with the letter mysteries,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q505821 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'mysteries')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is learning the higher taxon of ornithology?,SELECT ?answer WHERE { wd:Q44703 wdt:P2578 ?X . ?X wdt:P171 ?answer}
What is the name of the ranch where Ronald Reagan lived?,select distinct ?obj where { wd:Q9960 wdt:P551 ?obj . ?obj wdt:P31 wd:Q509028 }
What Japanese language television station broadcasts in English?,select distinct ?sbj where { ?sbj wdt:P2936 wd:Q5287 . ?sbj wdt:P31 wd:Q1616075 }
"Tell me the classification scheme that starts with ""t"".","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q5962346 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
How did Lionel Trilling die?,SELECT ?answer WHERE { wd:Q1827287 wdt:P737 ?X . ?X wdt:P1196 ?answer}
What is the  translation of birth name of Averroes?,"SELECT ?obj WHERE { wd:Q39837 p:P1477 ?s . ?s ps:P1477 ?obj . ?s pq:P2440 ?x filter(contains(?x,'Abū l-Walīd Muhammad ibn Ahmad ibn Rushd')) }"
When did Ingvar Kamprad marry Kerstin Wadling?,SELECT ?value WHERE { wd:Q216932 p:P26 ?s . ?s ps:P26 wd:Q47519864 . ?s pq:P580 ?value}
What type of quantum particle is a photon?,select distinct ?obj where { wd:Q3198 wdt:P2152 ?obj . ?obj wdt:P31 wd:Q22675015 }
What award did Zoe Caldwell receive in 1966?,"SELECT ?obj WHERE { wd:Q1995506 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1966')) }"
When did Stanley Matthews leave the Blackpool F.C. team?,SELECT ?value WHERE { wd:Q216140 p:P54 ?s . ?s ps:P54 wd:Q19449 . ?s pq:P582 ?value}
What is the geographic region with the highest number of out of school children whose part of is Asia ?,select ?ent where { ?ent wdt:P31 wd:Q82794 . ?ent wdt:P2573 ?obj . ?ent wdt:P361 wd:Q48 } ORDER BY DESC(?obj)LIMIT 5
What zip code was Israel Kamakawiwoʻole's birth place?,SELECT ?answer WHERE { wd:Q42180 wdt:P19 ?X . ?X wdt:P281 ?answer}
Mukesh Ambani is the Chief Executive Officer of which corporation?,select distinct ?sbj where { ?sbj wdt:P169 wd:Q298547 . ?sbj wdt:P31 wd:Q6881511 }
wich means{Total number of cases}that {suffers from} at{Giovanni Battista Pergolesi} ?,SELECT ?answer WHERE { wd:Q185312 wdt:P1050 ?X . ?X wdt:P1603 ?answer}
What are the cryptocurrency which start with the letter z,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q13479982 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'z')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Where is Jacob W. Davis' place of death that is adjacent to Daly City?,SELECT ?answer WHERE { wd:Q1488960 wdt:P20 ?answer . ?answer wdt:P47 wd:Q370925}
"Who are the {characters} in {Exodus}, the has a {brother or sister} named {Nadabe}?",SELECT ?answer WHERE { wd:Q9190 wdt:P674 ?answer . ?answer wdt:P3373 wd:Q1941782}
who is the astronomical observatory for operator of California Institute of technology?,select distinct ?sbj where { ?sbj wdt:P137 wd:Q161562 . ?sbj wdt:P31 wd:Q1254933 }
What was Yuri Lotman a member of starting 1977?,"SELECT ?obj WHERE { wd:Q360084 p:P463 ?s . ?s ps:P463 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1977')) }"
Which is the khanate which contains the word türgesh in their name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q331644 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'türgesh')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
When did Stephen Harper begin his term as Prime Minister of Canada?,SELECT ?value WHERE { wd:Q206 p:P39 ?s . ?s ps:P39 wd:Q839078 . ?s pq:P580 ?value}
What award Angela Lansbury has received at Tony Award for Best Actress in a Musical ?,SELECT ?value WHERE { wd:Q206856 p:P166 ?s . ?s ps:P166 wd:Q1537996 . ?s pq:P805 ?value}
What disease was treated with niacin that was used for treatment of cerivastatin?,SELECT ?answer WHERE { wd:Q134658 wdt:P2175 ?answer . ?answer wdt:P2176 wd:Q423439}
When was Sun Wen a member of the sports team Atlanta Beat?,SELECT ?value WHERE { wd:Q253223 p:P54 ?s . ?s ps:P54 wd:Q4816008 . ?s pq:P580 ?value}
Where is {pronunciation audio} of {continent} {Kadamba Dynasty} ?,SELECT ?answer WHERE { wd:Q1479952 wdt:P30 ?X . ?X wdt:P443 ?answer}
What position did Stanisław Koniecpolski held where he was replaced by Mikołaj Potock?,SELECT ?obj WHERE { wd:Q722463 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P1366 wd:Q2626598 }
"""Which actor in the Schindler's List, has an intersex that is a female?""",SELECT ?answer WHERE { wd:Q483941 wdt:P161 ?answer . ?answer wdt:P21 wd:Q6581072}
From what position was Klement Gottwald replaced by Edvard Beneš?,SELECT ?obj WHERE { wd:Q296054 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P1365 wd:Q152274 }
When did Tim Duncan receive the John R. Wooden Award?,SELECT ?value WHERE { wd:Q193020 p:P166 ?s . ?s ps:P166 wd:Q1641970 . ?s pq:P585 ?value}
What was the population of Sioux Falls in 2000?,"SELECT ?obj WHERE { wd:Q131335 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2000')) }"
What is the location in or next to body of water and time zone of Nice?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q33959 wdt:P206 ?ans_1 . wd:Q33959 wdt:P421 ?ans_2 }
What is { population } of { Versailles } that is { time point } is { 2013 - 1 - 1 }?,"SELECT ?obj WHERE { wd:Q621 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2013')) }"
Who was nominated for the Academy Award for Best Sound Mixing because of their work in Saving Private Ryan?,SELECT ?value WHERE { wd:Q165817 p:P1411 ?s . ?s ps:P1411 wd:Q830079 . ?s pq:P2453 ?value}
"When New Caledonia was given a seat on the United Nations Educational, Scientific and Cultural Organization?",SELECT ?value WHERE { wd:Q33788 p:P463 ?s . ?s ps:P463 wd:Q7809 . ?s pq:P580 ?value}
Tell me the population of the history of the Marshall Islands.,SELECT ?answer WHERE { wd:Q899049 wdt:P1269 ?X . ?X wdt:P1082 ?answer}
When did Norman Borlaug receive the AAAS Philip Hauge Abelson Prize?,SELECT ?value WHERE { wd:Q154824 p:P166 ?s . ?s ps:P166 wd:Q19877229 . ?s pq:P585 ?value}
What of David Vetter's is buried at cities of Dawson County?,SELECT ?answer WHERE { wd:Q726179 wdt:P119 ?answer . ?answer wdt:P150 wd:Q110670}
When was Shania Twain nominated for the Best Female Country Vocal Performance at the Grammys?,SELECT ?value WHERE { wd:Q131433 p:P1411 ?s . ?s ps:P1411 wd:Q5593802 . ?s pq:P585 ?value}
"What is the craft of Patrick Henry, whose field of this craft is law.",SELECT ?answer WHERE { wd:Q311885 wdt:P106 ?answer . ?answer wdt:P425 wd:Q7748}
which natural number with the highest numeric value whose instance is natural number?,select ?ent where { ?ent wdt:P31 wd:Q21199 . ?ent wdt:P1181 ?obj . ?ent wdt:P31 wd:Q21199 } ORDER BY DESC(?obj)LIMIT 5
Which is the capitol building that Thomas Jefferson was the architect for?,select distinct ?sbj where { ?sbj wdt:P84 wd:Q11812 . ?sbj wdt:P31 wd:Q3284499 }
Which in {battle} {has daughter} of {Yeon Taejo} ?,SELECT ?answer WHERE { wd:Q703988 wdt:P40 ?X . ?X wdt:P607 ?answer}
What timeline is the topic of the aspect of Mathematical formulation of quantum mechanics?,SELECT ?answer WHERE { wd:Q606855 wdt:P1269 ?X . ?X wdt:P2184 ?answer}
How many licenses are also copyrighted?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P275 wd:Q12948581 }
Which shipwreck had more casualties than the RMS Titanic?,select ?ent where { ?ent wdt:P31 wd:Q906512 . ?ent wdt:P1590 ?obj . ?ent wdt:P1876 wd:Q25173} ORDER BY ASC(?obj)LIMIT 5
Who was the twinned administrative body of Makhachkala until February 2nd 2016?,"SELECT ?obj WHERE { wd:Q5168 p:P190 ?s . ?s ps:P190 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'2016')) }"
When did Alcide De Gasperi take on his role as the head of the Italian government?,SELECT ?value WHERE { wd:Q38 p:P6 ?s . ?s ps:P6 wd:Q153832 . ?s pq:P580 ?value}
What is the amount of medical examinations for colorectal cancer?,SELECT (COUNT(?obj) AS ?value ) { wd:Q188874 wdt:P923 ?obj }
What positions does the United Nations General Assembly appoint?,select distinct ?sbj where { ?sbj wdt:P748 wd:Q47423 . ?sbj wdt:P31 wd:Q4164871 }
Tell me the State church that office held by head of the organisation Archbishop of Canterbury and which that starts with the letter c,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q2325038 . ?sbj wdt:P2388 wd:Q29282 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'c')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What sister city was born in of Zakhar Oskotsky?,SELECT ?answer WHERE { wd:Q4338004 wdt:P19 ?X . ?X wdt:P190 ?answer}
"Name a maritime republic that used to speak Latin and that contains the word ""Republic"" in its name","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q43185013 . ?sbj wdt:P2936 wd:Q397 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'republic')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What are the meteorological phenomenon which start with the letter W,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q16332653 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
"Which is {famous works} of {songwriter} of {Nocturne No. 12 in G major, Op. 37, No. 2} ?",SELECT ?answer WHERE { wd:Q16739817 wdt:P86 ?X . ?X wdt:P800 ?answer}
Who regulates the genetic association of hsa-miR-5006-3p in molecular biology,SELECT ?answer WHERE { wd:Q27593301 wdt:P128 ?X . ?X wdt:P2293 ?answer}
When did Edward Norton Lorenz receive the Buys Ballot Medal?,SELECT ?value WHERE { wd:Q174808 p:P166 ?s . ?s ps:P166 wd:Q1018319 . ?s pq:P585 ?value}
What countries celebrate Chinese New Year?,select distinct ?sbj where { ?sbj wdt:P832 wd:Q131772 . ?sbj wdt:P31 wd:Q3624078 }
When did David Susskind and Joyce Davidson marry?,SELECT ?value WHERE { wd:Q4408937 p:P26 ?s . ?s ps:P26 wd:Q6297452 . ?s pq:P580 ?value}
What is {attendee} in {conflict} of {Curt Badinski} ?,SELECT ?answer WHERE { wd:Q2574334 wdt:P607 ?X . ?X wdt:P710 ?answer}
